SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
100001,0,Cash loans,F,N,Y,2,410650.59930032917,743330.0546556503,74099.81846594428,644236.6602625451,Working,Academic degree,Widow,With parents,0.018879163905952817,-17974,-598,-9818,-4865,1,0,1,1,0,0,Managers,2,3,2,THURSDAY,6,0,0,0,0,0,0,0.16158795053668173,0.8727553633067466,0.7483954492296722,0.12558854583245208,0.025794074503583807,0.6525571260021505,0.6596863387480387,0.05534066598245262,0.14142726981029818,0.1451082549466256,0.19800961094826328,0.0824368089580694,0.043619667922662725,0.05501440918748181,0.03578899693364916,0.013145793188916031,0.1045939346916451,0.605808521186727,0.7916858707156544,0.06639445454581346,0.21190103117542516,0.18230633670515897,0.15434523638872516,0.11823419584118483,0.14192613614723726,0.02573406734458268,0.09159669717516483,reg oper account,specific housing,0.08987438337278565,Panel,No,0,1,0,0,-1121,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
100002,1,Revolving loans,F,Y,Y,0,226442.1096070577,705100.7821147013,25830.125507679586,622063.6979402803,Working,Secondary / secondary special,Married,Municipal apartment,0.06571837857440077,-22388,-12936,-9084,-1980,1,0,0,1,0,0,Drivers,5,3,3,TUESDAY,11,0,0,0,0,0,1,0.45924725915110576,0.5620092379813534,0.727357422950705,0.19436490585732372,0.10912398982266668,0.7243191197583365,0.3615699605520908,0.12914826109393693,0.23112187741827647,0.14591649817429975,0.1573130757407997,0.18617817588254246,0.06895477467373978,0.07253945263647547,0.017076081892102656,0.2970130440871859,0.010388989062199587,0.6222463155160938,0.9542015025160369,0.09889786712850905,0.14078505099386843,0.048068864651963306,0.23841936323752205,0.059081364587808036,0.14898614914217173,0.038442177511944293,0.015421275489633669,reg oper spec account,terraced house,0.0576447728330675,Panel,No,0,0,0,1,-3840,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4
100003,0,Revolving loans,F,Y,Y,4,387846.3421449751,416447.4051903931,31184.49357085218,724348.782752529,Commercial associate,Secondary / secondary special,Separated,Municipal apartment,0.022932244653556054,-13671,-1306,-17625,-1257,1,1,0,0,0,1,Laborers,2,1,3,SATURDAY,15,0,0,0,0,0,0,0.43430654055765194,0.4572803450620949,0.12770030174272834,0.2797498400598229,0.12007872000424102,0.7370169446228262,0.5468345840547253,0.01863143708902428,0.03221233297593304,0.11159898269457402,0.10657364668359179,0.19846846977871543,0.08121980264230523,0.016984027629095233,0.028376190222689626,0.14219487249884305,0.07675315121173237,0.5554896957184878,0.8761803052295736,0.1549391378787245,0.1095086670466075,0.1005094228328313,0.21108243138745725,0.17128367347720036,0.10332927067404533,0.020453865233216267,0.09474805411426777,reg oper spec account,block of flats,0.10926622963584363,Panel,No,0,1,0,0,-1138,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
100004,0,Revolving loans,F,Y,Y,5,106468.83355961781,399033.43099134165,54493.372994118225,386550.0435372931,Pensioner,Incomplete higher,Single / not married,House / apartment,0.0570135937570121,-23092,-12585,-12988,-6890,1,0,1,0,1,1,Accountants,6,3,3,SATURDAY,14,0,0,0,0,0,0,0.24512649384443483,0.8296415025252538,0.1243492285898471,0.06898180160722017,0.10724139281946866,0.9168458807876193,0.7681994959432421,0.15989076003070465,0.030571765386798996,0.010999314961923258,0.07341714185452433,0.13329647212395587,0.13308129340723843,0.08645758565393664,0.04951811921261873,0.29753582175849014,0.012131259702642894,0.7423674793025106,0.4973284977609775,0.19951368146370668,0.24212201485445883,0.03609944954232048,0.04270324019250058,0.15591629578793584,0.06954602537124334,0.0322056686569167,0.06993284322847082,cash,block of flats,0.208749297791416,"Stone, brick",No,0,0,0,0,-3676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100005,0,Revolving loans,M,N,N,2,397747.1388492856,953646.5755908764,92335.14549971903,891522.3897555182,Commercial associate,Incomplete higher,Civil marriage,House / apartment,0.010649795230334599,-18046,-12049,-1360,-6417,1,0,1,0,1,0,Medicine staff,4,1,3,MONDAY,20,0,0,0,0,0,0,0.8734948052299047,0.8202891098936826,0.771155850216393,0.20932675234281858,0.05902940827144231,0.8328916717161351,0.9411524034324925,0.11378447215114375,0.10225211443552322,0.1760135111613835,0.03350268570474101,0.12440872972365882,0.18981815555419018,0.08494558807770172,0.05635574758447112,0.21884058703213277,0.1398396415850406,0.5205360807634904,0.3234069895652393,0.04529448919151341,0.2502129209443633,0.13877192799947766,0.11170576853446149,0.03917730389725797,0.18294559147584946,0.07052790267068088,0.07277596870228205,reg oper account,block of flats,0.08785473903420944,Mixed,No,0,0,0,0,-3363,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100006,0,Cash loans,M,N,Y,1,156619.9962079919,438617.96338729816,29054.293493317375,447494.8496640103,Commercial associate,Academic degree,Single / not married,House / apartment,0.03849367135713821,-9815,-1373,-17950,-3775,1,1,1,0,1,0,High skill tech staff,2,1,3,TUESDAY,12,0,0,0,0,0,0,0.5829868839414867,0.43255782325936776,0.5597837500244504,0.038246263718248255,0.05250111296790432,0.7165782988406759,0.5782063791920997,0.16740310526039448,0.13036530834712404,0.19156155526895727,0.2368934078001615,0.16975712612144833,0.12275509391831065,0.0724061842360036,0.09477057448701794,0.024859266824363298,0.17216420298582083,0.5057573231949626,0.6310211901381446,0.15343651426515356,0.054654806645382296,0.1718642195547721,0.22351154374813625,0.1757536366304685,0.018848028453326296,0.053825139759147766,0.02420668355470655,cash,terraced house,0.07048080744184894,"Stone, brick",No,0,0,1,0,-3716,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
100007,0,Revolving loans,F,N,Y,2,354826.90844999277,820404.2373751994,22981.601900629317,755305.3231809895,Commercial associate,Academic degree,Separated,House / apartment,0.07094716513053899,-9504,-9384,-11410,-5514,1,0,0,0,0,1,Security staff,4,2,3,SUNDAY,17,0,0,0,0,0,0,0.7508104365798687,0.7997818897998482,0.8659418682153538,0.06528030911089695,0.08025371066704988,0.9526209687878682,0.6951949720214396,0.050473036845644345,0.07277683236123393,0.04843936646648088,0.24751121253798253,0.10808404109776386,0.1726981562690865,0.09246942761592655,0.011449178049581819,0.2591174356223984,0.0830957477248735,0.8090362965684663,0.36437322122692456,0.12727170802365134,0.2864771622547557,0.13319092586778125,0.10769699587230888,0.19237667481984166,0.07765601125965212,0.024586050674092527,0.03962130383217784,reg oper spec account,specific housing,0.2927136466689548,Block,Yes,1,0,0,1,-3814,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
100008,0,Cash loans,M,N,Y,2,304601.6996784484,514497.4385656633,78307.91486686276,212899.7170977719,Pensioner,Higher education,Civil marriage,Municipal apartment,0.053563504620506366,-22072,-7025,-10563,-2136,1,0,0,1,1,0,Core staff,3,1,3,THURSDAY,17,0,0,1,1,0,0,0.49691244578796023,0.15122074651440987,0.4452732775331806,0.15764900835518156,0.041583460315699164,0.8778703882516541,0.7452435399768608,0.1447871477597056,0.017804083048595452,0.17002421817831012,0.16702073582104324,0.17520612109935227,0.18194492504800328,0.014287083710393665,0.07818643657989881,0.16381582449799642,0.10971238713794064,0.5442396593242819,0.4717073624743357,0.11092667318246895,0.2796775933958947,0.05949022128064557,0.17440129959577866,0.11216950923062034,0.13663609763595377,0.052722556239166586,0.014699744799539602,reg oper account,specific housing,0.299226255981878,Others,No,0,0,0,0,-1958,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
100009,0,Cash loans,F,N,N,1,468115.1227452593,311403.25662776316,55055.757910053784,498125.7039153178,Commercial associate,Lower secondary,Separated,House / apartment,0.09804425373990894,-15720,-4040,-2838,-1725,1,1,0,1,0,1,Sales staff,5,2,3,MONDAY,23,0,0,0,0,0,0,0.6782495338983304,0.8085753162660375,0.24139345711659504,0.2154294979563341,0.13654449906202865,0.5378584485541449,0.34952743553648025,0.08991092987204598,0.07367229615500033,0.1949244258296414,0.055557455116288824,0.08845827472918176,0.09862810540100361,0.030786715407502677,0.016525876226381284,0.14129123837880006,0.022509095964059197,0.9226048064615432,0.7480679392505296,0.19362684000641453,0.26255456570060676,0.02449980151042021,0.2887681684579161,0.01728933980917441,0.17930358113476835,0.08626613129785772,0.06877711347666121,reg oper account,terraced house,0.20925587807056029,"Stone, brick",No,0,0,1,0,-770,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100010,0,Cash loans,M,N,Y,3,224295.1330888913,208572.23815628717,92060.66011435943,481367.8543670466,Commercial associate,Secondary / secondary special,Widow,Municipal apartment,0.08866934164595898,-17319,-3392,-1022,-5352,1,0,1,1,0,1,Drivers,4,2,3,WEDNESDAY,4,0,0,0,0,0,0,0.8758233666494064,0.3484668228443454,0.47858792991024734,0.2589848754228722,0.12678823124313243,0.5768729146329452,0.5395575296729886,0.024592755661483563,0.13625726284339126,0.07212508343934598,0.08642342337081409,0.016060446770403185,0.09976248408704877,0.04262908249508809,0.017012989479433555,0.22977699332072596,0.08318750767457113,0.5533643892570923,0.6465132642432477,0.07132317445248446,0.13257094141979442,0.02315949050274805,0.033176975475822844,0.18396672161075403,0.024102591728665496,0.04958432719378773,0.04058642219139365,reg oper spec account,specific housing,0.07714159841362488,Others,No,0,0,0,0,-391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
